Address,Latitude,Longitude
"Brooks St (Glenquarie Shopping Centre), Macquarie Fields NSW 2564",-33.9869425,150.8917025
"11 Macquarie Street, Windsor NSW 2756",-33.6056682,150.8233126
"43 Macquarie Road, Cardiff NSW 2285",-32.9410243,151.6578834
"67 Orange Grove Road, Liverpool NSW 2170",-33.9070414,150.9179505
"41 - 43 Third Avenue, Blacktown NSW 2148",-33.7645506,150.9082402
"13 Railway Lane, Cowra NSW 2646",-33.8363158,148.6927018
"348 Barrenjoey Road, Newport NSW 2106",-33.6554388,151.3204103
"41 Lithgow Street (Cnr Mort Street), Lithgow NSW 2790",-33.4831772,150.153299
"756 Pittwater Rd (Cnr West St), Brookvale NSW 2100",-33.7616624,151.276276
"1233 Pacific Highway, Turramurra NSW 2074",-33.7332007,151.1313334
"90-94 Queen Street (Cnr Broughton Street), Campbelltown NSW 2560",-34.0636095,150.8173509
"24-26 Gavenlock Road, Tuggerah NSW 2259",-33.3091527,151.414822
"136 Hume Highway (cnr Hollywood Drive), Lansvale NSW 2166",-33.8947168,150.9581726
"70-76 Manning Street (Cnr Wynter St), Taree NSW 2340",-31.9092136,152.4583298
"1 Avenue of the Americas, Newington NSW 2127",-33.8337899,151.0556417
"364-366 Eastern Valley Way, Chatswood East NSW 2067",-33.786599,151.2010143
"118 Coxs Rd, North Ryde NSW 2113",-33.8014843,151.1303525
"378 Pacific Hwy (Cnr Allison Ave), Lane Cove NSW 2066",-33.8140961,151.1767457
"287 Liverpool Road, Burwood NSW 2134",-33.88536029999999,151.0938918
"254 Kelly St, Scone NSW 2337",-32.0577994,150.8706187
"Cnr Allison Cres & Old Menai Road, Menai NSW 2234",-34.0174035,151.0192344
"68-74 MOLONG RD, ORANGE NSW 2800",-33.2696668,149.0822456
"363 Vardys Road, Kings Park NSW 2148",-33.7465741,150.9069191
"2 Acacia Av, Ruse NSW 2560",-34.0730736,150.8419791
"90 Bathurst Road, Orange NSW 2800",-33.2917909,149.1107233
"400 Luxford Road, Lethbridge Park NSW 2770",-33.7368412,150.7983674
"107 King Georges Rd, Wiley Park NSW 2195",-33.9250878,151.0692475
"301 Hume Hwy, GREENACRE NSW 2190",-33.9052409,151.0418585
"293 West Botany Street (Corner Bestic Street), Rockdale NSW 2216",-33.94991520000001,151.1483799
"20 Burwood Road, CONCORD NSW 2137",-33.8674732,151.1053264
"515 Young Street, Albury NSW 2640",-36.0807881,146.9234508
"Lot 1 Ben Lomond Road, MINTO NSW 2566",-34.0322568,150.8502826
"Corner Allison Crescent & Menai Road, Menai NSW 2234",-34.0174035,151.0192344
"519 Hume Hwy, YAGOONA NSW 2199",-33.9075193,151.0208397
